Грузополучатель,Грузополучатель_адрес,reciever_lat,reciever_long
20002745,"[56.5053, 42.2187]",56.5053,42.2187
20002746,"[50.79, 59.25]",50.79,59.25
20002747,"[57.801, 37.3042]",57.801,37.3042
20002748,"[67.4667, 78.7]",67.4667,78.7
20002753,"[67.6426, 36.1399]",67.6426,36.1399
20002754,"[61.7849, 34.3469]",61.7849,34.3469
20002755,"[54.2433, 34.3828]",54.2433,34.3828
20002756,"[47.2364, 39.7139]",47.2364,39.7139
20002757,"[48.9253, 40.2797]",48.9253,40.2797
20002758,"[46.5564, 39.6386]",46.5564,39.6386
20002759,"[46.0433, 38.1764]",46.0433,38.1764
20002760,"[44.8928, 44.0878]",44.8928,44.0878
20002761,"[47.3989, 39.8308]",47.3989,39.8308
20002762,"[46.34, 48.04]",46.34,48.04
20002763,"[54.3882, 42.0768]",54.3882,42.0768
20002764,"[57.829, 56.197]",57.829,56.197
20002768,"[66.0833, 76.6333]",66.0833,76.6333
20002773,"[21.9582944, 76.1547506]",21.9582944,76.1547506
20002778,"[69.56905979999999, 88.31246256290044]",69.56905979999999,88.31246256290044
20002783,"[59.8085944, 30.5771454]",59.8085944,30.5771454
20002784,"[59.8085944, 30.5771454]",59.8085944,30.5771454
20002785,"[60.7499, 72.8582]",60.7499,72.8582
20002786,"[68.9717, 33.0819]",68.9717,33.0819
20002788,"[56.5, 84.9667]",56.5,84.9667
20002789,"[59.550491550000004, 30.18786031537801]",59.550491550000004,30.18786031537801
20002790,"[61.2544, 75.2124]",61.2544,75.2124
20002793,"[56.1819, 41.4764]",56.1819,41.4764
20002794,"[55.3333, 86.0833]",55.3333,86.0833
20002795,"[56.399, 92.4783]",56.399,92.4783
20002796,"[61.2412, 77.4858]",61.2412,77.4858
20002797,"[56.3287, 44.002]",56.3287,44.002
20002798,"[55.0411, 82.9344]",55.0411,82.9344
20002799,"[55.1544, 61.4297]",55.1544,61.4297
20002800,"[58.5811, 50.5389]",58.5811,50.5389
20002801,"[54.3408, 73.2098]",54.3408,73.2098
20002802,"[56.5, 84.9667]",56.5,84.9667
20002803,"[61.05, 76.1]",61.05,76.1
20002804,"[63.79126425, 74.49600960164467]",63.79126425,74.49600960164467
20002805,"[63.1667, 75.6167]",63.1667,75.6167
20002806,"[51.449, 57.0908]",51.449,57.0908
20002807,"[59.95, 30.38]",59.95,30.38
20002808,"[56.399, 92.4783]",56.399,92.4783
20002809,"[56.399, 92.4783]",56.399,92.4783
20002813,"[60.1256, 29.8764]",60.1256,29.8764
20002814,"[51.2253, 58.57]",51.2253,58.57
20002815,"[54.9914, 82.7175]",54.9914,82.7175
20002816,"[64.8433, 170.6133]",64.8433,170.6133
20002818,"[50.61, 36.58]",50.61,36.58
20002823,"[56.1167, 38.8833]",56.1167,38.8833
20002030,"[55.1284, 73.0947]",55.1284,73.0947
20002999,"[58.9197816, 61.8421963]",58.9197816,61.8421963
20002863,"[55.4353, 78.2667]",55.4353,78.2667
20002865,"[57.1522, 65.5272]",57.1522,65.5272
20002874,"[66.8811, 79.4907]",66.8811,79.4907
20002963,"[56.5, 84.9667]",56.5,84.9667
20003053,"[63.1667, 75.6167]",63.1667,75.6167
20002866,"[55.752, 37.615]",55.752,37.615
20003033,"[51.449, 57.0908]",51.449,57.0908
20003009,"[56.5, 84.9667]",56.5,84.9667
20003010,"[61.05, 76.1]",61.05,76.1
20003058,"[63.1667, 75.6167]",63.1667,75.6167
20003064,"[59.9321, 30.1968]",59.9321,30.1968
20003047,"[57.1522, 65.5272]",57.1522,65.5272
20002130,"[60.1256, 29.8764]",60.1256,29.8764
20003046,"[68.9717, 33.0819]",68.9717,33.0819
20002878,"[60.0922, 30.2368]",60.0922,30.2368
20003073,"[65.9444, 57.4519]",65.9444,57.4519
20003000,"[56.8575, 60.6125]",56.8575,60.6125
20003054,"[66.6674278, 66.3806982]",66.6674278,66.3806982
20003040,"[44.591423750000004, 33.48306965066813]",44.591423750000004,33.48306965066813
20003023,"[55.9606, 38.0456]",55.9606,38.0456
20003111,"[60.1256, 29.8764]",60.1256,29.8764
20003170,"[61.2412, 77.4858]",61.2412,77.4858
20002873,"[66.6674278, 66.3806982]",66.6674278,66.3806982
20003075,"[59.0682965, 76.7220858]",59.0682965,76.7220858
20003076,"[58.9285, 81.5715]",58.9285,81.5715
20003077,"[53.5204703, 59.95178111781888]",53.5204703,59.95178111781888
20003078,"[69.56905979999999, 88.31246256290044]",69.56905979999999,88.31246256290044
20003079,"[66.8811, 79.4907]",66.8811,79.4907
20003083,"[60.1022, 30.2131]",60.1022,30.2131
20003084,"[54.6197, 39.74]",54.6197,39.74
20003085,"[56.8619, 35.8931]",56.8619,35.8931
20003086,"[54.3333, 48.4]",54.3333,48.4
20003087,"[55.9691, 38.1461]",55.9691,38.1461
20003088,"[51.4057, 128.1216]",51.4057,128.1216
20003089,"[50.6254, 137.3994]",50.6254,137.3994
20003090,"[48.27, 46.17]",48.27,46.17
20003091,"[52.0296, 59.2254]",52.0296,59.2254
20003092,"[51.3686, 42.0906]",51.3686,42.0906
20003093,"[56.1667, 39.0833]",56.1667,39.0833
20003094,"[44.9297, 38.0408]",44.9297,38.0408
20003095,"[52.6186, 39.5689]",52.6186,39.5689
20003098,"[52.8481, 42.4104]",52.8481,42.4104
20003099,"[47.2214, 38.9094]",47.2214,38.9094
20003100,"[51.5, 46.1167]",51.5,46.1167
20003101,"[51.449, 57.0908]",51.449,57.0908
20003102,"[51.2253, 58.57]",51.2253,58.57
20003103,"[59.6873, 30.3405]",59.6873,30.3405
20003104,"[54.1833, 45.1833]",54.1833,45.1833
20003105,"[53.0283, 32.1919]",53.0283,32.1919
20003106,"[58.1167, 28.4333]",58.1167,28.4333
20003109,"[68.0544447, 39.5129384]",68.0544447,39.5129384
20003110,"[60.755116, 72.839981]",60.755116,72.839981
20003112,"[44.591423750000004, 33.48306965066813]",44.591423750000004,33.48306965066813
20003114,"[55.4353, 78.2667]",55.4353,78.2667
20003118,"[57.1522, 65.5272]",57.1522,65.5272
20003119,"[59.885, 29.8958]",59.885,29.8958
20003123,"[61.26223505, 73.44375126029084]",61.26223505,73.44375126029084
20003124,"[61.26223505, 73.44375126029084]",61.26223505,73.44375126029084
20003125,"[58.2789336, 47.9559118]",58.2789336,47.9559118
20003126,"[60.7283, 77.5928]",60.7283,77.5928
20003127,"[60.7283, 77.5928]",60.7283,77.5928
20003128,"[65.5277567, 72.5368799]",65.5277567,72.5368799
20003129,"[69.56905979999999, 88.31246256290044]",69.56905979999999,88.31246256290044
20003133,"[54.7065, 20.511]",54.7065,20.511
20003143,"[73.5069, 80.5464]",73.5069,80.5464
20003148,"[56.7564891, 61.7693309]",56.7564891,61.7693309
20003153,"[51.449, 57.0908]",51.449,57.0908
20003154,"[51.449, 57.0908]",51.449,57.0908
20003155,"[66.0833, 76.6333]",66.0833,76.6333
20003158,"[56.7992204, 36.7478118]",56.7992204,36.7478118
20003163,"[66.0833, 76.6333]",66.0833,76.6333
20003168,"[55.7522, 37.6156]",55.7522,37.6156
20003169,"[62.5206, 65.5964]",62.5206,65.5964
20003173,"[56.7658, 105.6483]",56.7658,105.6483
20003178,"[61.4921, 63.3594]",61.4921,63.3594
20003179,"[60.02262305, 30.264307885641852]",60.02262305,30.264307885641852
20003180,"[69.56905979999999, 88.31246256290044]",69.56905979999999,88.31246256290044
20003181,"[62.1445646, 65.4349289]",62.1445646,65.4349289
20003182,"[59.5497806, 70.0022944]",59.5497806,70.0022944
20003188,"[58.2918806, 68.3249]",58.2918806,68.3249
20003189,"[59.9415905, 30.4783461]",59.9415905,30.4783461
20003190,"[62.1406, 65.3936]",62.1406,65.3936
20002958,"[59.6, 65.9333]",59.6,65.9333
20001954,"[59.938732, 30.316229]",59.938732,30.316229
20001958,"[59.938732, 30.316229]",59.938732,30.316229
20001299,"[56.3287, 44.002]",56.3287,44.002
20001300,"[56.3287, 44.002]",56.3287,44.002
20002148,"[54.3408, 73.2098]",54.3408,73.2098
20001838,"[44.7239, 37.7708]",44.7239,37.7708
20002678,"[63.1667, 75.6167]",63.1667,75.6167
20002694,"[56.7658, 105.6483]",56.7658,105.6483
20002689,"[55.4353, 78.2667]",55.4353,78.2667
20002679,"[61.0042, 69.0019]",61.0042,69.0019
20002031,"[55.9558, 37.2972]",55.9558,37.2972
20002691,"[51.1133, 59.0831]",51.1133,59.0831
20002692,"[66.53, 66.6019]",66.53,66.6019
20002735,"[60.7283, 77.5928]",60.7283,77.5928
20001959,"[59.938732, 30.316229]",59.938732,30.316229
20002983,"[52.7833, 52.25]",52.7833,52.25
20002695,"[66.8811, 79.4907]",66.8811,79.4907
20002989,"[56.7658, 105.6483]",56.7658,105.6483
20002941,"[59.9321, 30.1968]",59.9321,30.1968
20002074,"[60.1256, 29.8764]",60.1256,29.8764
20002029,"[64.8433, 170.6133]",64.8433,170.6133
20001925,"[59.9321, 30.1968]",59.9321,30.1968
20001585,"[64.8477, 77.4524]",64.8477,77.4524
20002690,"[56.5, 84.9667]",56.5,84.9667
20001949,"[59.938732, 30.316229]",59.938732,30.316229
20001951,"[59.938732, 30.316229]",59.938732,30.316229
20001945,"[59.938732, 30.316229]",59.938732,30.316229
20002737,"[60.7283, 77.5928]",60.7283,77.5928
20002968,"[63.1667, 75.6167]",63.1667,75.6167
20002848,"[48.3539, 41.8261]",48.3539,41.8261
20003038,"[57.1, 65.76]",57.1,65.76
20002959,"[56.5, 84.9667]",56.5,84.9667
20001955,"[59.938732, 30.316229]",59.938732,30.316229
20001953,"[55.29045, 59.1218937]",55.29045,59.1218937
20001948,"[59.938732, 30.316229]",59.938732,30.316229
20001947,"[59.938732, 30.316229]",59.938732,30.316229
20003203,"[63.1667, 75.6167]",63.1667,75.6167
20003184,"[63.1667, 75.6167]",63.1667,75.6167
20003185,"[63.1667, 75.6167]",63.1667,75.6167
